company,details,slide_type,description,use_case,industry,tags,image_link,image_id
McKinsey ,McKinsey Technology Trends Outlook 2022 Report,Title,"The slide presents a silhouette of a person's head with a digital overlay, alongside vertical lines converging into a bright focal point. The background is dark with a blue tint, accentuating the digital motif.",Industry Overview,Technology & Software,['Picture'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680abaec825b3f0c9bb67f3c_BgH8pmJRo6XEVd-u5GFZ81_3i5hbYVVl0rpAGGJdMwc.avif,slide-1.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Report,Single Chart,"Featuring a circular graph with variously sized and colored bubbles, it visualizes data on innovation, interest, investment, and adoption by technology trend.",Technology and Digital Transformation,Professional Services,"['Scatter Plot', 'Takeaway Box']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680abaf53177db39665163a3_lz8N8yQvqXcvtghd7iAkO7fZl3VhgTCzKrNx68-jCdA.avif,slide-3.jpg
EY ,"With the market in flux, how can your IPO journey stay the course?",Multiple Chart,The slide includes a column chart tracking the number of IPOs and proceeds from 2019 to 2023 and a table summarizing cross-border IPO listings on US exchanges.,Market Analysis and Trends,Financial Services,"['Table', 'Column Chart', 'Line Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680abaf8b0d572f8248471a6_gublTR96UxqJY_Cb9Wyedhl1a2RGu0cz4ouwrzy70Bc.avif,slide-4.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Report,Single Chart,Exhibit 2 displays a table categorizing technology trends and their relevance across multiple industries with color-coded relevance.,Industry Overview,Technology & Software,['Heatmap'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680abafc21baf9bcf8f0bbdc_ZN50EoPoNpy3saJEMTEXCWCin4ReHF6n7_lPjmLFVII.avif,slide-5.jpg
EY ,"With the market in flux, how can your IPO journey stay the course?",Multiple Chart,"The slide presents a combination of column charts and tables, detailing the number of IPOs and proceeds across the Asia-Pacific region. It includes stock exchange data and sector breakdowns.",Market Analysis and Trends,Financial Services,"['Table', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680abaff535435925042179a_2X99Lu3GlDSJvan97snFXVR6tw-qJgawFHjxCXENq-c.avif,slide-6.jpg
EY ,"With the market in flux, how can your IPO journey stay the course?",Multiple Chart,"This slide features multiple column charts and tables comparing IPO activities in the Shanghai, Shenzhen, Beijing, and Hong Kong stock exchanges.",Market Analysis and Trends,Financial Services,"['Table', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680abb02cccff7a3ee65a2c6_vSSQ0MbS8wUXhzA1Gk89JvCv2HtsDY9d6mUwRzoDeUo.avif,slide-7.jpg
EY ,"With the market in flux, how can your IPO journey stay the course?",Multiple Chart,"The slide uses column charts and tables to present the number of IPOs and proceeds in Europe, the Middle East, India, and Africa. It also includes details on stock exchanges and sectors.",Market Analysis and Trends,Financial Services,"['Table', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680abb05b5bfe4e6668f7354_LuC15Q8--iqlqhQfVJVfL55QOHeLeQwgbrRCeESNIEs.avif,slide-8.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Report,Title,"Simple, clean design with a complex network graphic, representing interconnectedness and the concept of advanced connectivity.",Industry Overview,Technology & Software,['Graphic'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026d1c7f9e8c203a7c169c_FvdrJkV9LWor4zoe8v3TYno6Zkex6VyaRiPMPrDtOVM.avif,slide-9.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Report,Header Horizontal,Comparative layout with graphics representing different types of connectivity technology across a spectrum.,Product and Service Analysis,Technology & Software,"['Icon', 'Table', 'Process Flow']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026d243693ba4f71a8c7e8_wbq2K9fSVNr0Oqxakb5FyDcOLApdWq7JT1UnPtfqEgo.avif,slide-10.jpg
McKinsey ,McKinsey Technology Trends Outlook 2022 Report,Header Horizontal,"A structured layout with icons and bullet points, highlighting key financial opportunities and industry capabilities enabled by connectivity.",Investment Analysis,Telecommunications,"['Bullet points', 'Icon', 'Table']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67026d2cbe6b852d3afbcc9d_atzZDc-9I_XXIqbkpb6myYoNvQQBL7uqR-mUv4cGpO8.avif,slide-11.jpg
